case_id,round,company,metric,status,base_year,base_value,target_year,target_value,unit,listed_rate_pct,calculated_rate_pct,rate_diff_pt,source_method,page,year_status,issues,raw_support,raw
s1_outline_35,1次,イグス株式会社,補助事業に係る従業員数,PDF表セル確認済み,2026,61,2029,71,人,,,,table_cells,2,暦年確認,,true,"補助事業に係る従業員数
(単位:人) | 61 | 71"
s1_outline_36,1次,株式会社廣澤精機製作所,労働生産性,PDF表セル・率検算確認済み,2027,1868,2030,2172,万円/人,5.2,5.1544,0.0456,table_cells,2,暦年確認,,true,"労働生産性
(万円/人) | 1,868 | 2,172
(年平均上昇率+5.2%)"
s1_outline_36,1次,株式会社廣澤精機製作所,従業員1人当たり給与支給総額,PDF表セル・率検算確認済み,2027,455,2030,515,万円/人,4.2,4.2154,0.0154,table_cells,2,暦年確認,,true,"従業員1人あたり
給与支給総額(万円/人) | 455 | 51
5
(年平均上昇率+4.2%)"
s1_outline_36,1次,株式会社廣澤精機製作所,役員1人当たり給与支給総額,PDF記載なし又は抽出不能,,,,,,,,,,,年なし,数値2点なし,false,
s1_outline_36,1次,株式会社廣澤精機製作所,補助事業に係る従業員数,PDF記載なし又は抽出不能,,,,,,,,,,,年なし,数値2点なし,false,
s1_outline_37,1次,大日工業株式会社,労働生産性,PDF表セル・率検算確認済み,2025,400.1,2028,632.3,万円/人,16.48,16.48,0,table_cells,2,暦年確認,,true,"労働生産性(万円/人) | 400.1万円/人 | 632.3万円/人
(年平均上昇率+16.48%)"
s1_outline_37,1次,大日工業株式会社,従業員1人当たり給与支給総額,PDF表セル・率検算確認済み,2025,256.2,2028,346.4,万円/人,10.58,10.5774,0.0026,table_cells,2,暦年確認,,true,"従業員1人あたり
給与支給総額(万円/人) | 256.2万円/人 | 346.4万円/人
(年平均上昇率+10.58%)"
s1_outline_37,1次,大日工業株式会社,役員1人当たり給与支給総額,PDF記載なし又は抽出不能,,,,,,,,,,,年なし,数値2点なし,false,
s1_outline_37,1次,大日工業株式会社,補助事業に係る従業員数,PDF表セル確認済み,2025,76,2028,83,人,,,,table_cells,2,暦年確認,,true,補助事業に係る従業員数(単位:人) | 76人 | 83人
s1_outline_38,1次,テラル株式会社,労働生産性,PDF表セル・率検算確認済み,2026,759,2029,935,万円/人,7.19,7.1988,0.0088,table_cells,2,暦年確認,,true,"労働生産性
(単位:万円/人) | 759万円 | 935万円
(年平均上昇率+7.19%)"
s1_outline_38,1次,テラル株式会社,従業員1人当たり給与支給総額,PDF表セル・率検算確認済み,2026,550,2029,610,万円/人,3.51,3.5116,0.0016,table_cells,2,暦年確認,,true,"従業員1人あたり給与支給総額
(単位:万円/人) | 550万円 | 610万円
(年平均上昇率+3.51%)"
s1_outline_38,1次,テラル株式会社,役員1人当たり給与支給総額,PDFで数値なし・ハイフン,,,,,,,,,,,年なし,数値2点なし,false,
s1_outline_38,1次,テラル株式会社,補助事業に係る従業員数,PDF表セル確認済み,2026,1030,2029,1160,人,,,,table_cells,2,暦年確認,,true,"補助事業に係る従業員数
(単位:人) | 1,030人 | 1,160人"
s1_outline_39,1次,株式会社ハウゼコ,労働生産性,PDF表セル・率検算確認済み,2026,500,2029,800,万円/人,17,16.9607,0.0393,table_cells,2,暦年確認,,true,"労働生産性
(単位:万円/人) | 500万円/人 | 800万円/人
(年平均上昇率+17.0%)"
s1_outline_39,1次,株式会社ハウゼコ,従業員1人当たり給与支給総額,PDF表セル・率検算確認済み,2026,362,2029,402,万円/人,3.2,3.5553,0.3553,table_cells,2,暦年確認,,true,"従業員1人あたり給与支給総額
(単位:万円/人) | 362万円/人 | 402万円/人
(年平均上昇率+3.2%)"
s1_outline_39,1次,株式会社ハウゼコ,役員1人当たり給与支給総額,PDFで数値なし・ハイフン,,,,,,,,,,,年なし,数値2点なし,false,
s1_outline_39,1次,株式会社ハウゼコ,補助事業に係る従業員数,PDF表セル確認済み,2026,197,2029,217,人,,,,table_cells,2,暦年確認,,true,"補助事業に係る従業員数
(単位:人) | 197人 | 217人"
s1_outline_4,1次,株式会社インターオフィス,労働生産性,PDF表セル・率検算確認済み,2025,1037,2028,1474,万円/人,12.4,12.4362,0.0362,table_cells,2,暦年確認,,true,"労働生産性(単位:万円/人) | 1,037 | 1,474(年平均上昇率+12.4%)"
s1_outline_4,1次,株式会社インターオフィス,従業員1人当たり給与支給総額,PDF表セル・率検算確認済み,2025,621,2028,742,万円/人,6.1,6.1135,0.0135,table_cells,2,暦年確認,,true,従業員1人あたり給与支給総額(単位:万円/人) | 621 | 742(年平均上昇率+6.1%)
s1_outline_4,1次,株式会社インターオフィス,役員1人当たり給与支給総額,PDF表セル・率検算確認済み,2025,1375,2028,1525,万円/人,3.5,3.5116,0.0116,table_cells,2,暦年確認,,true,"役員1人あたり給与支給総額(単位:万円/人) | 1,375 | 1,525(年平均上昇率+3.5%)"
s1_outline_4,1次,株式会社インターオフィス,補助事業に係る従業員数,PDF表セル確認済み,2025,169,2028,198,人,,,,table_cells,2,暦年確認,,true,補助事業に係る従業員数(単位:人) | 169 | 198
s1_outline_40,1次,千代田鋼鉄工業株式会社,労働生産性,PDF表セル・率検算確認済み,2025,2661,2028,3095,万円/人,5.2,5.1652,0.0348,table_cells,2,暦年確認,,true,"労働生産性
(単位:万円/人) | 2,661 | 3,095
(年平均上昇率+5.2%)"
s1_outline_40,1次,千代田鋼鉄工業株式会社,従業員1人当たり給与支給総額,PDF表セル・率検算確認済み,2025,592,2028,667,万円/人,4,4.0562,0.0562,table_cells,2,暦年確認,,true,"従業員1人あたり給与支給総額
(単位:万円/人) | 592 | 667
(年平均上昇率+4%)"
s1_outline_40,1次,千代田鋼鉄工業株式会社,役員1人当たり給与支給総額,PDFで数値なし・ハイフン,,,,,,,,,,,年なし,数値2点なし,false,
s1_outline_40,1次,千代田鋼鉄工業株式会社,補助事業に係る従業員数,PDF表セル確認済み,2025,155,2028,155,人,,,,table_cells,2,暦年確認,,true,"補助事業に係る従業員数
(単位:人) | 155 | 155"
s1_outline_41,1次,株式会社ビッグハウス,労働生産性,PDF表セル・率検算確認済み,2026,785,2029,1176,万円/人,14.4,14.4228,0.0228,table_cells,2,暦年確認,,true,"労働生産性
(単位:万円/人) | 785 | 1,176
(年平均上昇率+14.4%)"
s1_outline_41,1次,株式会社ビッグハウス,従業員1人当たり給与支給総額,PDF表セル・率検算確認済み,2026,385,2029,500,万円/人,9.07,9.1029,0.0329,table_cells,2,暦年確認,,true,"従業員1人あたり給与支給総額
(単位:万円/人) | 385 | 500
(年平均上昇率+9.07%)"
s1_outline_41,1次,株式会社ビッグハウス,役員1人当たり給与支給総額,PDFで絶対値なし・年平均率のみ確認済み,2026,,2029,,万円/人,6.58,,,rate_only_from_officer_row,2,暦年確認,,true,"役員1人あたり給与支給総額
(単位:万円/人) - -
(年平均上昇率+6.58%)"
s1_outline_41,1次,株式会社ビッグハウス,補助事業に係る従業員数,PDF表セル確認済み,2026,41,2029,54,人,,,,table_cells,2,暦年確認,,true,"補助事業に係る従業員数
(単位:人) | 41 | 54"
s1_outline_42,1次,株式会社山田ドビー,労働生産性,PDF表セル・率検算確認済み,2026,17623,2029,58032,千円/人,49,48.7748,0.2252,table_cells,2,暦年確認,,true,"労働生産性
(単位:千円/人) | 17,623千円 | 58,032千円
(年平均上昇率+49%)"
s1_outline_42,1次,株式会社山田ドビー,従業員1人当たり給与支給総額,PDF表セル・率検算確認済み,2026,8300,2029,9883,千円/人,5.95,5.9913,0.0413,table_cells,2,暦年確認,,true,"従業員1人あたり給与支給総額
(単位:千円/人) | 8,300千円 | 9,883千円
(年平均上昇率+5.95%)"
s1_outline_42,1次,株式会社山田ドビー,役員1人当たり給与支給総額,PDFで絶対値なし・年平均率のみ確認済み,2026,,2029,,千円/人,3.7,,,rate_only_from_officer_row,2,暦年確認,,true,"役員1人あたり給与支給総額
(単位:千円/人) - -
(年平均上昇率+3.70%)"
s1_outline_42,1次,株式会社山田ドビー,補助事業に係る従業員数,PDF表セル確認済み,2026,12,2029,30,人,,,,table_cells,2,暦年確認,,true,"補助事業に係る従業員数
(単位:人) | 12名 | 30名"
