case_id,round,company,series_id,series_label,point_type,period_label,year_before_correction,year_after_correction,year_correction_method,year,month_before_correction,month_after_correction,month,sales_oku_yen,page,pdf_url
s1_outline__181,2次,株式会社ホテルニューアワジ,s1_outline__181_sales_01,株式会社ホテルニューアワジ,baseline,基準年はPDFに明記なし,,,unresolved_relative_or_missing_context,,,,,67.8,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__181.pdf
s1_outline__181,2次,株式会社ホテルニューアワジ,s1_outline__181_sales_02,株式会社あわじ浜離宮,target,2029年まで,2029,2029,existing_normalized_year,2029,,,,25.3,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__181.pdf
s1_outline__181,2次,株式会社ホテルニューアワジ,s1_outline__181_sales_02,株式会社あわじ浜離宮,baseline,基準年はPDFに明記なし,,,unresolved_relative_or_missing_context,,,,,11.6,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__181.pdf
s1_outline__181,2次,株式会社ホテルニューアワジ,s1_outline__181_sales_03,幹事企業の新設ホテル売上試算,target,稼働時試算,,,unresolved_relative_or_missing_context,,,,,24.6,6,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__181.pdf
s1_outline__181,2次,株式会社ホテルニューアワジ,s1_outline__181_sales_04,共同申請企業の新設ホテル売上試算,target,稼働時試算,,,unresolved_relative_or_missing_context,,,,,11.7,6,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__181.pdf
s1_outline__182,2次,埼玉機器株式会社,s1_outline__182_sales_01,会社全体,target,2030年まで,2030,2030,existing_normalized_year,2030,,,,162,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__182.pdf
s1_outline__182,2次,埼玉機器株式会社,s1_outline__182_sales_02,小型トラック等の新規ビジネス,target,2030年まで,2030,2030,existing_normalized_year,2030,,,,29,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__182.pdf
s1_outline__183,2次,スズキハイテック株式会社,s1_outline__183_sales_01,会社全体,baseline,2027年5月期,2027,2027,existing_normalized_year,2027,5,5,5,55.8,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__183.pdf
s1_outline__183,2次,スズキハイテック株式会社,s1_outline__183_sales_01,会社全体,target,2030年5月期まで,2030,2030,existing_normalized_year,2030,5,5,5,96,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__183.pdf
s1_outline__184,2次,泉南乳業株式会社,s1_outline__184_sales_01,会社全体,baseline,2023年度比較（2024年3月期）,2023,2023,existing_normalized_year,2023,3,3,3,113,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__184.pdf
s1_outline__184,2次,泉南乳業株式会社,s1_outline__184_sales_01,会社全体,target,2030年まで,2030,2030,existing_normalized_year,2030,,,,200,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__184.pdf
s1_outline__189,2次,長﨑ジャッキ株式会社,s1_outline__189_sales_01,会社全体,target,2030年まで,2030,2030,existing_normalized_year,2030,,,,29.2,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__189.pdf
s1_outline__189,2次,長﨑ジャッキ株式会社,s1_outline__189_sales_01,会社全体,baseline,基準年は明記なし,,,unresolved_relative_or_missing_context,,,,,12.4,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__189.pdf
s1_outline__190,2次,株式会社GOTENリゾート,s1_outline__190_sales_01,会社全体,baseline,2022年10月期（事務局指示）,2022,2022,existing_normalized_year,2022,10,10,10,7.2,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__190.pdf
s1_outline__190,2次,株式会社GOTENリゾート,s1_outline__190_sales_01,会社全体,target,2029年10月期まで,2029,2029,existing_normalized_year,2029,10,10,10,24.7,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__190.pdf
s1_outline__190,2次,株式会社GOTENリゾート,s1_outline__190_sales_02,旅館（既存）大良温泉蟹御殿,target,2029年10月期まで,2029,2029,existing_normalized_year,2029,10,10,10,6.1,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__190.pdf
s1_outline__190,2次,株式会社GOTENリゾート,s1_outline__190_sales_03,旅館（既存）奥武雄温泉風の森,target,2029年10月期まで,2029,2029,existing_normalized_year,2029,10,10,10,3.6,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__190.pdf
s1_outline__190,2次,株式会社GOTENリゾート,s1_outline__190_sales_04,旅館（新館）奥嬉野温泉無名滝,target,2029年10月期まで,2029,2029,existing_normalized_year,2029,10,10,10,11.5,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__190.pdf
s1_outline__190,2次,株式会社GOTENリゾート,s1_outline__190_sales_05,観光特産品事業,target,2029年10月期まで,2029,2029,existing_normalized_year,2029,10,10,10,3,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__190.pdf
s1_outline__191,2次,株式会社カナイ,s1_outline__191_sales_01,当社単体,baseline,2023年度,2023,2023,existing_normalized_year,2023,,,,300,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__191.pdf
s1_outline__191,2次,株式会社カナイ,s1_outline__191_sales_01,当社単体,target,2029年度まで,2029,2029,existing_normalized_year,2029,,,,400,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__191.pdf
s1_outline__194,2次,ZACROS株式会社,s1_outline__194_sales_01,会社全体・2030目標,baseline,2023年度（実績）,2023,2023,existing_normalized_year,2023,,,,1361,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__194.pdf
s1_outline__194,2次,ZACROS株式会社,s1_outline__194_sales_01,会社全体・2030目標,target,2030年度（目標）,2030,2030,existing_normalized_year,2030,,,,2200,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__194.pdf
s1_outline__194,2次,ZACROS株式会社,s1_outline__194_sales_02,会社全体・2026中間計画,baseline,2023年度（実績）,2023,2023,existing_normalized_year,2023,,,,1361,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__194.pdf
s1_outline__194,2次,ZACROS株式会社,s1_outline__194_sales_02,会社全体・2026中間計画,target,2026年度（計画）,2026,2026,existing_normalized_year,2026,,,,1650,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__194.pdf
s1_outline__195,2次,アシザワ・ファインテック株式会社,s1_outline__195_sales_01,会社全体,baseline,2023年度,2023,2023,existing_normalized_year,2023,,,,28.4,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__195.pdf
s1_outline__195,2次,アシザワ・ファインテック株式会社,s1_outline__195_sales_01,会社全体,target,2029年度まで,2029,2029,existing_normalized_year,2029,,,,60,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__195.pdf
s1_outline__202,2次,アライドコーヒーロースターズ株式会社,s1_outline__202_sales_01,中期,baseline,2024年3月期,,2024,four_digit_year_from_label,2024,,3,3,120,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__202.pdf
s1_outline__202,2次,アライドコーヒーロースターズ株式会社,s1_outline__202_sales_01,中期,target,2030年3月期,,2030,four_digit_year_from_label,2030,,3,3,275,1,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__202.pdf
