case_id,round,company,page,page_role,source_method,confidence,baseline_year,baseline_sales_oku,target_year,target_sales_oku,increase_oku,increase_target_year,stated_rate_pct,stated_rate_target_year,stated_rate_type,stated_cumulative_growth_pct,calculated_cagr_pct,reported_cagr_pct,multiple,validation_status,selection_score,raw,pdf_url
s2_outline_70,3次,株式会社光製作所,1,長期成長ビジョン,sales_box_rectangle,high,,,2030,,77.8,2030,82.6,2030,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,105,"売上成⾧目標
• 2030年までの会社全体の売上高成⾧率+82.6％
• 2030年までの会社全体の売上高増加額77.8億円",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_70.pdf
s2_outline_71,3次,至誠堂製薬株式会社,1,長期成長ビジョン,sales_box_rectangle,high,,,2031,,68.2,2031,244.8,2031,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,135,"会社全体の売上成長目標（2031年3月期）
• 売上高成長率 +244.8％（直近決算比較）
• 売上高増加額 +68.2億円（直近決算比較）",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_71.pdf
s2_outline_72,3次,ときわ製作所株式会社,1,長期成長ビジョン,sales_box_rectangle,high,,,2029,,23.9,2029,25.99,2029,CAGR明記,,,,,Box内明記値確認済み（算術検算対象外）,135,"会社全体の売上成長目標（直近事業年度～2029年）
• 売上高成長率25.99%（年平均）
• 売上高増加額23.9億円",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_72.pdf
s2_outline_73,3次,株式会社ライジング,1,長期成長ビジョン,sales_box_rectangle,high,,,2031,,51,2031,133,2031,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,105,"会社全体の売上成⾧目標（～2031年）
• 売上高成⾧率:+133％
• 売上高増加額:51億円",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_73.pdf
s2_outline_74,3次,株式会社山福,2,長期成長ビジョン,sales_box_rectangle,high,2027,509,2031,197,503,2031,13.4,2031,売上高成長率（定義未確定）,,-21.125410687364642,,,増加額不整合 / 成長率定義要確認,139,"売上成長目標
（コンソーシアム合算）2031年5月期: 509億円
• 27/5期から31/5期までの売上高成長率: +13.4％
• 27/5期から31/5期までの売上高増加額: +197億円
（山福単体） 2031年5月期: 503億円
• 27/5期から31/5期までの売上高成長率: +13.2%
• 27/5期から31/5期までの売上高増加額: +201億円",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_74.pdf
s2_outline_77,3次,株式会社やまみ,1,長期成長ビジョン,visual_manual_override,high,2024,203,2030,475.3,272.3,2030,16.7,2030,CAGR明記,,,16.7,,原本画像目視確認済み,93,2030年6月期売上高475.3億円（2024年6月期+272.3億円）、年平均成長率16.7%/年,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_77.pdf
s2_outline_78,3次,株式会社宮古島の雪塩,1,長期成長ビジョン,sales_box_rectangle,high,,,2029,,80,2029,217,2029,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,135,"会社全体の売上成長目標（～29年度）
• 売上高成長率217％
• 売上高増加額80億円",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_78.pdf
s2_outline_79,3次,大京株式会社,1,長期成長ビジョン,sales_box_rectangle,high,,,2029,,208,2029,65,2029,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,135,"会社全体の売上成長目標（2029年度）
• 売上⾼成長率65％
• 売上⾼増加額208億円",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_79.pdf
s2_outline_8,3次,牛乳石鹸共進社株式会社,1,長期成長ビジョン,sales_box_rectangle,high,,,2030,,167,2030,18.9,2030,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,135,"会社全体の売上成長目標（基準年～2030年度）
• 売上高成長率18.9％
• 売上高増加額167億円",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_8.pdf
s2_outline_80,3次,株式会社レイズ,1,長期成長ビジョン,sales_box_rectangle,high,2029,,2034,500,103,2034,222,2034,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,143,"売上成長目標（～2029年度）
売上高増加率：+67％
売上高増加額：103億円増
グループ連結長期成長目標（～2034年度）
グループ連結売上高成長率+222％、
グループ連結売上高500億円を目指す",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_80.pdf
s2_outline_81,3次,東亜薬品株式会社,1,長期成長ビジョン,sales_box_rectangle,high,2023,,2036,215,,,156,2036,売上高成長率（定義未確定）,,,,,Box内明記値確認済み（算術検算対象外）,105,"会社全体の売上成⾧目標
2023年 2030年 2036年
（最新決算） （7年後） (13年後)
売上高 215億円 335億円 440億円
売上高成⾧率 － 156％ 205％",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_81.pdf
s2_outline_82,3次,ハマダレクテック株式会社,1,長期成長ビジョン,sales_box_rectangle,high,2024,119,2031,119,266,2031,124,2031,売上高成長率（定義未確定）,,0,,,増加額不整合 / 成長率定義要確認,113,"会社全体の売上成⾧目標（～2030年度）
直近2024年7月期の会社全体の売上高119億円
• 売上高成⾧率124％
• 売上高増加額147億円
2031年7月期の全社全体の売上高目標266億円",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_82.pdf
s2_outline_83,3次,株式会社キド,1,長期成長ビジョン,sales_box_rectangle,high,,,2030,,30.2,2030,163.2,2030,CAGR明記,,,,,Box内明記値確認済み（算術検算対象外）,135,"会社全体の売上成長目標（2030年）
• 売上高成長率163.2％(CAGR 14.8%)
• 売上高増加額30.2億円",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_83.pdf
s2_outline_84,3次,株式会社ジョヴィ,1,長期成長ビジョン,sales_box_rectangle,medium,2024,882,2031,2441,,,,,,,15.653033300720098,,,Box内数値整合確認済み,67,"24年3月期 28年3月期 31年3月期
(直近事業年度) (基準年) (事業化報告３年目)
売上高
882億円 1,562億円 2,441億円
（既存事業）
賃上目標 年平均 年平均
ー
（既存事業） 6％以上 6％以上",https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_84.pdf
