variable,label,core_n,core_round_percentile_median,core_round_percentile_mean,core_below_round_median_n,sign_flip_vs_0_5_p
baseline_sales_oku,基準売上高（億円）,10,0.4111111111111111,0.4293757316638672,6,0.45147742612869357
project_cost_oku,事業費（億円）,28,0.3870967741935484,0.47615970232905713,15,0.7055147242637868
subsidy_oku,補助金額（億円）,28,0.44618583891255836,0.4741823772080923,16,0.6784660766961652
employees_base,基準従業員数,28,0.33962264150943394,0.37743395543804203,20,0.010349482525873706
