factor,factor_label,core28_n,core28_mean,core28_strong_pct,reference_accepted_n,reference_accepted_mean,reference_accepted_strong_pct,mean_difference,strong_share_difference_pctpt,fisher_two_sided_p,sampling_warning
A,需要の確からしさ,28,1.9642857142857142,78.57142857142857,28,2.107142857142857,75.0,-0.14285714285714302,3.5714285714285694,1.0,参照群は無作為抽出された不採択企業ではなく、別目的で目視した採択企業
B,物理的な能力制約,28,2.142857142857143,78.57142857142857,28,2.7142857142857144,96.42857142857143,-0.5714285714285716,-17.85714285714286,0.10118050650792049,参照群は無作為抽出された不採択企業ではなく、別目的で目視した採択企業
C,事業転換・差別化,28,2.5,100.0,28,2.75,100.0,-0.25,0.0,1.0,参照群は無作為抽出された不採択企業ではなく、別目的で目視した採択企業
D,供給網・地域の不可欠性,28,2.357142857142857,89.28571428571429,28,2.4642857142857144,89.28571428571429,-0.1071428571428572,0.0,1.0,参照群は無作為抽出された不採択企業ではなく、別目的で目視した採択企業
E,実行準備,28,2.5357142857142856,100.0,28,2.25,92.85714285714286,0.2857142857142856,7.142857142857139,0.4909090909090909,参照群は無作為抽出された不採択企業ではなく、別目的で目視した採択企業
H,政策適合・波及性,28,2.7142857142857144,100.0,28,2.392857142857143,92.85714285714286,0.3214285714285716,7.142857142857139,0.4909090909090909,参照群は無作為抽出された不採択企業ではなく、別目的で目視した採択企業
