quality_indicator,core_flagged_n,core_total_n,core_flagged_pct,other_flagged_n,other_total_n,other_flagged_pct,fisher_odds_ratio,fisher_two_sided_p,bh_q_within_quality_indicators
not_clean,12,28,42.857142857142854,162,345,46.95652173913044,0.8472222222222222,0.6990770029174432,1.0
has_ambiguous_rate_any,9,28,32.142857142857146,122,345,35.36231884057971,0.865832614322692,0.8383567844486826,1.0
representative_entity_ambiguous,4,28,14.285714285714286,50,345,14.492753623188406,0.9833333333333333,1.0,1.0
cost_text_numeric_mismatch,1,28,3.5714285714285716,12,345,3.4782608695652173,1.0277777777777777,1.0,1.0
has_unit_ambiguity_any,0,28,0.0,2,345,0.5797101449275363,0.0,1.0,1.0
has_period_ambiguity_any,12,28,42.857142857142854,53,345,15.36231884057971,4.132075471698113,0.0009151792580245299,0.007321434064196239
has_mixed_entity_metrics,11,28,39.285714285714285,71,345,20.579710144927535,2.497100248550124,0.03104811238471519,0.12419244953886076
has_arithmetic_mismatch_any,0,28,0.0,12,345,3.4782608695652173,0.0,0.6113644385991791,1.0
