theme,core28_yes_n,core28_pct,other_accepted_yes_n,other_accepted_pct,difference_pctpt,fisher_two_sided_p
theme_market_evidence,26,92.85714285714286,289,81.86968838526913,10.987454471873733,0.19442847160393564
theme_regional_jobs,9,32.142857142857146,90,25.495750708215297,6.647106434641849,0.5017365900657245
theme_supply_chain,10,35.714285714285715,103,29.178470254957507,6.535815459328209,0.5198626019786029
theme_new_capacity,22,78.57142857142857,275,77.90368271954674,0.6677458518818327,1.0
theme_labor_saving,22,78.57142857142857,276,78.18696883852691,0.3844597329016608,1.0
theme_innovation,15,53.57142857142857,197,55.80736543909349,-2.2359368676649183,0.845369474069013
theme_green,8,28.571428571428573,119,33.711048158640224,-5.1396195872116515,0.6797950329039824
theme_global,8,28.571428571428573,122,34.56090651558074,-5.989477944152167,0.6793442518868978
