metric,metric_label,core28_n,other_accepted_n,core28_mean,core28_median,other_accepted_mean,other_accepted_median,mean_difference,within_round_permutation_p
text_evidence_percentile_mean,5観点テキスト証拠順位の平均,28,353,0.45046804065194174,0.4494623655913978,0.5095946030077779,0.5129032258064516,-0.05912656235583619,0.04669766511674416
text_management_density_pct,経営力語句密度の同回順位,28,353,0.38994454696142966,0.391232423490488,0.5143953333854956,0.5233644859813084,-0.12445078642406593,0.026298685065746712
text_innovation_market_density_pct,市場・先進性語句密度の同回順位,28,353,0.4043386632963058,0.32016882725354234,0.513253590446752,0.5161290322580645,-0.1089149271504462,0.04814759262036898
text_regional_spillover_density_pct,地域波及語句密度の同回順位,28,353,0.500679394969416,0.4601547583157471,0.5056118326936441,0.5161290322580645,-0.004932437724228023,0.9253037348132593
text_feasibility_density_pct,実現可能性語句密度の同回順位,28,353,0.5099589720399187,0.5233644859813084,0.5048757755889016,0.5,0.005083196451017069,0.928003599820009
text_policy_relevance_density_pct,政策適合語句密度の同回順位,28,353,0.44741862599263865,0.4447291729474424,0.5098364829240966,0.4859813084112149,-0.062417856931457905,0.24813759312034397
text_length,公開PDF抽出文字数,28,353,2851.1428571428573,2399.0,2466.526912181303,2187.0,384.6159449615543,0.10264486775661216
