case_id,round,company,industry,pdf_url,is_clean,analysis_exclusion_recommended,analysis_exclusion_reasons,current9_observed_n_reproduced,current9_below_applicant_n,current9_below_applicant_share,project_cost_oku,subsidy_oku,baseline_sales_oku,employees_base,employees_target,jobs_increase,subsidy_share_project_cost_pct,subsidy_to_baseline_sales_pct,sales_increase_per_subsidy,payroll_increase_per_subsidy,jobs_increase_per_subsidy_oku,growth_observed_n,growth_below_n,growth_below_share,growth_all_observed_below,productivity_value_observed_n,productivity_value_below_n,productivity_value_below_share,productivity_value_all_observed_below,wage_observed_n,wage_below_n,wage_below_share,wage_all_observed_below,sales_cagr_pct,benchmark_applicant_company_sales_cagr,applicant_ratio_no1,below_applicant_no1,benchmark_accepted_company_sales_cagr,below_accepted_no1,sales_increase_oku_yen_normalized,benchmark_applicant_company_sales_increase,applicant_ratio_no2,below_applicant_no2,benchmark_accepted_company_sales_increase,below_accepted_no2,labor_annual_rate_pct,benchmark_applicant_labor_cagr,applicant_ratio_no7,below_applicant_no7,benchmark_accepted_labor_cagr,below_accepted_no7,value_added_increase_estimated_oku,benchmark_applicant_value_added_increase,applicant_ratio_no8,below_applicant_no8,benchmark_accepted_value_added_increase,below_accepted_no8,employee_pay_annual_rate_pct,benchmark_applicant_employee_pay_rate,applicant_ratio_no9,below_applicant_no9,benchmark_accepted_employee_pay_rate,below_accepted_no9,employee_pay_total_increase_estimated_oku,benchmark_applicant_employee_pay_total_increase,applicant_ratio_no10,below_applicant_no10,benchmark_accepted_employee_pay_total_increase,below_accepted_no10,officer_pay_annual_rate_pct,benchmark_applicant_officer_pay_rate,applicant_ratio_no11,below_applicant_no11,benchmark_accepted_officer_pay_rate,below_accepted_no11,investment_sales_ratio_pct,benchmark_applicant_investment_sales_ratio,applicant_ratio_no13,below_applicant_no13,benchmark_accepted_investment_sales_ratio,below_accepted_no13,value_added_subsidy_ratio_proxy_pct,benchmark_applicant_value_added_subsidy_ratio,applicant_ratio_no14,below_applicant_no14,benchmark_accepted_value_added_subsidy_ratio,below_accepted_no14,control_case_id,control_company,control_industry,industry_exact_match,shared_scale_variable_n,match_distance
s2_outline_35,3次,株式会社北海道ちぬやファーム,卸売業・小売業,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_35.pdf,False,True,REPRESENTATIVE_ENTITY_AMBIGUOUS,6,5.0,0.8333333333333334,41.0,11.0,,10.0,13.0,3.0,26.829268292682926,,,0.0160727272727272,0.2727272727272727,0,,,False,3,3.0,1.0,True,3,2.0,0.6666666666666666,False,,13.0,,,14.0,,,42.2,,,62.3,,13.7,22.0,0.6227272727272727,1.0,26.0,1.0,3.3614900000000003,15.7,0.21410764331210194,1.0,24.1,1.0,5.9,6.0,0.9833333333333334,1.0,6.2,1.0,0.1768,2.4,0.07366666666666667,1.0,3.5,1.0,5.9,5.0,1.1800000000000002,0.0,5.3,0.0,,57.0,,,61.0,,27.780909090909088,139.0,0.19986265533028122,1.0,171.0,1.0,s2_outline_69,松村フーズ株式会社,運輸業・郵便業,False,3,0.8804978496428655
s2_outline_19,3次,株式会社高木製作所,製造業,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_19.pdf,False,True,RATE_DEFINITION_AMBIGUOUS|REPRESENTATIVE_ENTITY_AMBIGUOUS,5,3.0,0.6,94.0,23.0,,98.0,101.0,3.0,24.46808510638298,,,0.0605086956521739,0.1304347826086956,0,,,False,3,2.0,0.6666666666666666,False,2,1.0,0.5,False,,13.0,,,14.0,,,42.2,,,62.3,,21.2,22.0,0.9636363636363636,1.0,26.0,1.0,32.99615000000001,15.7,2.101665605095542,0.0,24.1,0.0,6.3,6.0,1.05,0.0,6.2,0.0,1.3917,2.4,0.579875,1.0,3.5,1.0,,5.0,,,5.3,,,57.0,,,61.0,,130.4195652173913,139.0,0.9382702533625273,1.0,171.0,1.0,s2_outline_62,株式会社エネルギーギャップ,製造業,True,3,0.5024661739347114
s2_outline_24,3次,高知食糧株式会社,卸売業・小売業,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_24.pdf,False,True,RATE_DEFINITION_AMBIGUOUS,8,6.0,0.75,17.0,5.4,,330.0,336.0,6.0,31.764705882352942,,23.33333333333333,0.3396666666666667,1.111111111111111,2,1.0,0.5,False,3,3.0,1.0,True,3,2.0,0.6666666666666666,False,8.9,13.0,0.6846153846153846,1.0,14.0,1.0,126.0,42.2,2.985781990521327,0.0,62.3,0.0,15.0,22.0,0.6818181818181818,1.0,26.0,1.0,6.84288,15.7,0.43585222929936307,1.0,24.1,1.0,6.1,6.0,1.0166666666666666,0.0,6.2,1.0,1.8342,2.4,0.7642500000000001,1.0,3.5,1.0,4.6,5.0,0.9199999999999999,1.0,5.3,1.0,,57.0,,,61.0,,115.19999999999996,139.0,0.8287769784172659,1.0,171.0,1.0,s2_outline_109,株式会社ヤマイシ,卸売業・小売業,True,3,0.8353975506657088
s2_outline_171,4次,オギハラ食品株式会社,製造業,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_171.pdf,False,True,RATE_DEFINITION_AMBIGUOUS,8,5.0,0.625,41.92,11.71,63.62348178,58.0,91.0,33.0,27.93416030534351,18.405154311565877,2.6840307429547394,0.1508232280102476,2.818104184457728,1,1.0,1.0,True,3,2.0,0.6666666666666666,False,3,2.0,0.6666666666666666,False,,14.0,,,17.0,,31.43,38.5,0.8163636363636364,1.0,61.3,1.0,41.2,25.0,1.6480000000000001,0.0,30.0,0.0,12.779998,12.9,0.990697519379845,1.0,21.1,1.0,6.2,6.5,0.9538461538461539,1.0,6.5,1.0,1.76614,2.0,0.88307,1.0,2.9,1.0,6.2,5.5,1.1272727272727272,0.0,6.0,0.0,65.88762329127597,48.0,1.3726588185682493,0.0,47.0,0.0,99.21588385994876,169.0,0.587076235857685,1.0,209.0,1.0,s2_outline_127,株式会社キィポーション,製造業,True,4,0.33818544415153573
s2_outline_192,4次,フクビ岡山株式会社,製造業,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_192.pdf,False,True,COST_TEXT_NUMERIC_MISMATCH,7,5.0,0.7142857142857143,36.52,9.0,,40.0,60.0,20.0,24.64403066812705,,3.933333333333333,0.1856222222222222,2.2222222222222223,1,1.0,1.0,True,3,2.0,0.6666666666666666,False,3,2.0,0.6666666666666666,False,,14.0,,,17.0,,35.4,38.5,0.9194805194805195,1.0,61.3,1.0,23.4,25.0,0.9359999999999999,1.0,30.0,1.0,13.94052,12.9,1.080660465116279,0.0,21.1,1.0,6.2,6.5,0.9538461538461539,1.0,6.5,1.0,1.6706,2.0,0.8353,1.0,2.9,1.0,6.2,5.5,1.1272727272727272,0.0,6.0,0.0,,48.0,,,47.0,,140.81333333333333,169.0,0.8332149901380671,1.0,209.0,1.0,s2_outline_134,池田薬品工業株式会社,製造業,True,3,0.6139608877218887
s2_outline_194,4次,リバードコーポレーション株式会社,製造業,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_194.pdf,True,False,,7,5.0,0.7142857142857143,59.18,18.6,,120.0,135.0,15.0,31.42953700574519,,1.4946236559139785,0.094008064516129,0.8064516129032258,1,1.0,1.0,True,3,3.0,1.0,True,3,1.0,0.3333333333333333,False,,14.0,,,17.0,,27.8,38.5,0.7220779220779221,1.0,61.3,1.0,7.4,25.0,0.29600000000000004,1.0,30.0,1.0,5.50935,12.9,0.4270813953488372,1.0,21.1,1.0,7.3,6.5,1.123076923076923,0.0,6.5,0.0,1.74855,2.0,0.874275,1.0,2.9,1.0,6.0,5.5,1.0909090909090908,0.0,6.0,0.0,,48.0,,,47.0,,26.927419354838705,169.0,0.1593338423363237,1.0,209.0,1.0,s2_outline_152,株式会社大熊製作所,製造業,True,3,0.6174718213113501
s2_outline_210,4次,南島酒販株式会社,卸売業・小売業,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_210.pdf,True,False,,8,6.0,0.75,10.71,3.57,,114.0,128.0,14.0,33.33333333333333,,21.008403361344534,0.5010532212885154,3.9215686274509807,2,1.0,0.5,False,3,3.0,1.0,True,3,2.0,0.6666666666666666,False,10.8,14.0,0.7714285714285715,1.0,17.0,1.0,75.0,38.5,1.948051948051948,0.0,61.3,0.0,23.1,25.0,0.924,1.0,30.0,1.0,6.51013,12.9,0.5046612403100775,1.0,21.1,1.0,6.5,6.5,1.0,0.0,6.5,0.0,1.78876,2.0,0.89438,1.0,2.9,1.0,5.0,5.5,0.9090909090909091,1.0,6.0,1.0,,48.0,,,47.0,,165.77871148459383,169.0,0.9809391212106143,1.0,209.0,1.0,s2_outline_167,株式会社カネヒロ,卸売業・小売業,True,3,0.5884223132146821
s2_outline_116,4次,奥伊吹観光株式会社,生活関連サービス業・娯楽業,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_116.pdf,True,False,,7,5.0,0.7142857142857143,20.94,6.7,,50.0,56.0,6.0,31.996179560649473,,10.92537313432836,0.1348298507462686,0.8955223880597015,1,0.0,0.0,False,3,3.0,1.0,True,3,2.0,0.6666666666666666,False,,14.0,,,17.0,,73.2,38.5,1.9012987012987013,0.0,61.3,0.0,10.3,25.0,0.41200000000000003,1.0,30.0,1.0,8.634076000000006,12.9,0.669308217054264,1.0,21.1,1.0,7.1,6.5,1.0923076923076922,0.0,6.5,0.0,0.90336,2.0,0.45168,1.0,2.9,1.0,5.3,5.5,0.9636363636363636,1.0,6.0,1.0,,48.0,,,47.0,,117.15164179104484,169.0,0.6932049810120996,1.0,209.0,1.0,s2_outline_131,株式会社中村畜産,卸売業・小売業,False,3,0.7586219002670598
s2_outline_168,4次,明和工業株式会社,製造業,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_168.pdf,True,False,,9,6.0,0.6666666666666666,21.95,7.12,79.1,54.0,84.0,30.0,32.4373576309795,9.001264222503162,23.65168539325843,0.2947921348314606,4.213483146067416,2,0.0,0.0,False,3,3.0,1.0,True,3,2.0,0.6666666666666666,False,20.9,14.0,1.4928571428571427,0.0,17.0,0.0,168.4,38.5,4.374025974025974,0.0,61.3,0.0,12.9,25.0,0.516,1.0,30.0,1.0,10.876074,12.9,0.8431065116279068,1.0,21.1,1.0,5.5,6.5,0.8461538461538461,1.0,6.5,1.0,2.09892,2.0,1.04946,0.0,2.9,1.0,0.0,5.5,0.0,1.0,6.0,1.0,27.74968394437421,48.0,0.578118415507796,1.0,47.0,1.0,138.86713483146067,169.0,0.821699022671365,1.0,209.0,1.0,s2_outline_144,株式会社シー・エス・ケイ,製造業,True,4,0.4282656736255427
s2_outline_159,4次,株式会社　ファーストライン,運輸業・郵便業,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_159.pdf,False,True,RATE_DEFINITION_AMBIGUOUS,8,6.0,0.75,16.24,3.97,,70.0,75.0,5.0,24.445812807881776,,2.670025188916876,0.2012972292191436,1.2594458438287153,2,1.0,0.5,False,3,3.0,1.0,True,3,2.0,0.6666666666666666,False,18.0,14.0,1.2857142857142858,0.0,17.0,0.0,10.6,38.5,0.2753246753246753,1.0,61.3,1.0,16.4,25.0,0.6559999999999999,1.0,30.0,1.0,5.6709950000000005,12.9,0.439612015503876,1.0,21.1,1.0,6.5,6.5,1.0,0.0,6.5,0.0,0.79915,2.0,0.399575,1.0,2.9,1.0,5.3,5.5,0.9636363636363636,1.0,6.0,1.0,,48.0,,,47.0,,129.860201511335,169.0,0.7684035592386685,1.0,209.0,1.0,s2_outline_113,株式会社アダチ,卸売業・小売業,False,3,0.8386808898546173
s2_outline_137,4次,株式会社　博多屋,宿泊業・飲食サービス業,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_137.pdf,False,True,RATE_DEFINITION_AMBIGUOUS,8,5.0,0.625,12.0,4.0,9.05,57.0,63.0,6.0,33.333333333333336,44.1988950276243,1.0875,0.132225,1.5,1,1.0,1.0,True,3,3.0,1.0,True,3,1.0,0.3333333333333333,False,,14.0,,,17.0,,4.35,38.5,0.11298701298701298,1.0,61.3,1.0,11.4,25.0,0.456,1.0,30.0,1.0,2.579940000000001,12.9,0.19999534883720937,1.0,21.1,1.0,7.0,6.5,1.0769230769230769,0.0,6.5,0.0,0.5289,2.0,0.26445,1.0,2.9,1.0,7.0,5.5,1.2727272727272727,0.0,6.0,0.0,132.5966850828729,48.0,2.762430939226519,0.0,47.0,0.0,58.635000000000005,169.0,0.3469526627218935,1.0,209.0,1.0,s2_outline_154,アルフレッド株式会社,学術研究・専門・技術サービス業,False,4,0.7565151174202538
