application_profile,company_count,share_pct,visible_lagging_pct,unresolved_lag_pct,pareto_dominated_pct,median_quantitative_axis,median_text_evidence_percentile
企業変革投資型,82,21.522309711286088,39.02439024390244,28.04878048780488,87.8048780487805,0.480251587164255,0.5067179487179487
複合バランス型,76,19.94750656167979,7.894736842105263,0.0,22.36842105263158,0.6834196683501408,0.5048076923076923
補助金効率型,62,16.27296587926509,46.774193548387096,4.838709677419355,85.48387096774194,0.49200609140505136,0.5141439205955335
成長・生産性型,57,14.960629921259843,24.561403508771928,15.789473684210526,85.96491228070175,0.48835409295836973,0.5160256410256411
定性・非公開要因候補,57,14.960629921259843,57.89473684210527,49.122807017543856,100.0,0.32143997491737086,0.46858974358974353
賃金・雇用型,29,7.611548556430447,31.03448275862069,24.137931034482758,86.20689655172413,0.540070524389964,0.5204301075268817
効果絶対額型,18,4.724409448818897,11.11111111111111,5.555555555555555,83.33333333333334,0.5964899770110568,0.5214743589743589
