round,accepted_count,with_financial_confirmation_count,confirmation_share_pct,without_confirmation_companies,interpretation,official_list_url
3次,116,113,97.4,株式会社南部医理科／パルス株式会社／株式会社PXP,採択企業内の提出率。非採択企業との比較がないため採択効果や因果は推定不可。,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf
4次,102,100,98.0,日本海精錬株式会社／日本毛織株式会社,採択企業内の提出率。非採択企業との比較がないため採択効果や因果は推定不可。,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf
5次,77,77,100.0,,採択企業内の提出率。非採択企業との比較がないため採択効果や因果は推定不可。,https://chukentou-seichotoushi-hojo.jp/assets/lp/documents/list_5ji.pdf
