case_id,round,company,pdf_url,industry,subsidy_oku,project_cost_oku,visible_metric_count,below_accepted_count,below_accepted_share,visible_metric_lagging,value_added_increase_proxy_oku,value_added_subsidy_ratio_proxy_pct,sales_increase_per_subsidy,payroll_increase_per_subsidy,jobs_increase_per_subsidy_oku,project_sales_increase_proxy,project_sales_cagr_proxy,project_sales_share_proxy,above_accepted_value_added_increase_proxy,above_accepted_value_added_subsidy_ratio_proxy,above_accepted_project_sales_increase_proxy,above_accepted_project_sales_cagr_proxy,above_accepted_project_sales_share_proxy,has_quantitative_compensating_proxy,unresolved_visible_lag,theme_labor_saving,theme_innovation,theme_supply_chain,theme_green,theme_regional_jobs,theme_global,theme_new_capacity,theme_market_evidence,below_accepted_company_sales_cagr,below_accepted_company_sales_increase,below_accepted_labor_cagr,below_accepted_employee_pay_rate,below_accepted_employee_pay_total_increase,below_accepted_officer_pay_rate,below_accepted_investment_sales_ratio
s1_outline__179,2次,アサヒセイレン中部株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__179.pdf,製造業,50.0,188.0,5,4.0,0.8,True,6.4459,12.8918,3.02,0.048133999999999996,0.38,,,,False,False,False,False,False,False,True,True,False,True,True,False,False,False,True,,0.0,1.0,1.0,1.0,1.0,
s1_outline__204,2次,メック株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__204.pdf,製造業,5.5,23.0,5,4.0,0.8,True,25.2314,458.75272727272727,,1.7439272727272728,13.454545454545455,,,,True,True,False,False,False,True,False,True,True,True,True,False,True,True,True,,,1.0,1.0,0.0,1.0,1.0
s1_outline_40,1次,千代田鋼鉄工業株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_40.pdf,製造業,6.5,43.0,5,4.0,0.8,True,6.727,103.4923076923077,8.844615384615384,0.17884615384615385,0.0,,,,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,,0.0,1.0,1.0,1.0,1.0,
s1_outline_45,1次,山本ビニター株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_45.pdf,製造業,8.2,26.0,5,4.0,0.8,True,5.9784,72.90731707317073,3.048780487804878,0.23026829268292687,1.707317073170732,,,,False,False,False,False,False,False,True,True,False,False,True,False,True,True,False,,1.0,1.0,1.0,1.0,0.0,
s1_outline_47,1次,ポーライト株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_47.pdf,製造業,8.2,31.0,5,4.0,0.8,True,7.9821,97.34268292682928,10.0,0.19017073170731708,0.3658536585365854,,,,False,False,False,False,False,False,True,True,False,True,False,False,True,True,True,,0.0,1.0,1.0,1.0,1.0,
s1_outline_65,1次,株式会社松風,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_65.pdf,製造業,6.6,22.0,5,4.0,0.8,True,17.4306,264.1,14.696969696969697,0.22445454545454546,2.121212121212121,,,,True,True,False,False,False,True,False,True,False,False,False,False,True,True,True,,0.0,1.0,1.0,1.0,1.0,
s1_outline_66,1次,株式会社アルプスツール,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_66.pdf,製造業,6.6,21.0,5,4.0,0.8,True,8.0948,122.64848484848484,,0.18893939393939396,3.3333333333333335,,55.5,23.076923076923077,False,False,False,True,False,True,False,True,True,False,True,False,True,True,True,1.0,,0.0,1.0,1.0,1.0,
s1_outline_89,1次,京西テクノス株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_89.pdf,サービス業_他に分類されないもの,7.9,25.0,5,4.0,0.8,True,13.5604,171.6506329113924,5.063291139240506,0.5524683544303797,7.341772151898734,,,,False,True,False,False,False,True,False,False,False,False,True,False,True,False,True,,1.0,1.0,1.0,0.0,,1.0
s1_outline_102,1次,冬木工業株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_102.pdf,製造業,22.0,69.0,5,4.0,0.8,True,5.7344,26.065454545454543,2.9545454545454546,0.044418181818181815,0.5454545454545454,,,,False,False,False,False,False,False,True,True,False,False,False,True,False,True,True,,0.0,1.0,1.0,1.0,1.0,
s1_outline_103,1次,オーケー化成株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_103.pdf,製造業,9.6,29.0,5,4.0,0.8,True,6.4815,67.515625,4.656250000000001,0.11489583333333334,1.5625,37.6,,,False,False,False,False,False,False,True,True,True,False,True,False,False,True,True,,1.0,1.0,0.0,1.0,1.0,
s2_outline_15,3次,賀谷セロファン株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_15.pdf,製造業,7.5,31.0,5,4.0,0.8,True,9.8488,131.31733333333335,3.7066666666666666,0.21552000000000002,1.8666666666666667,,,,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,,1.0,1.0,1.0,1.0,0.0,
s2_outline_30,3次,東洋スクリーン工業株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_30.pdf,製造業,9.1,33.0,5,4.0,0.8,True,13.2986,146.13846153846157,4.175824175824176,0.5604615384615385,6.923076923076923,,,,False,False,False,False,False,False,True,True,False,True,False,False,False,True,True,,1.0,1.0,1.0,0.0,1.0,
s2_outline_32,3次,第一物産株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_32.pdf,卸売業・小売業,5.5,17.0,5,4.0,0.8,True,9.7849,177.90727272727273,9.763636363636364,0.6141454545454545,8.545454545454545,,,,False,True,False,False,False,True,False,True,True,False,False,False,False,True,True,,1.0,1.0,1.0,1.0,0.0,
s2_outline_48,3次,株式会社サンワ,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_48.pdf,運輸業・郵便業,7.3,24.0,5,4.0,0.8,True,18.0535,247.3082191780822,6.301369863013699,0.509041095890411,0.8219178082191781,,,,False,True,False,False,False,True,False,True,False,True,True,True,False,False,False,,1.0,1.0,1.0,0.0,1.0,
s2_outline_95,3次,山崎商事運輸株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_95.pdf,運輸業・郵便業,8.5,26.0,5,4.0,0.8,True,8.9928,105.79764705882354,4.305882352941176,0.2300705882352941,2.1176470588235294,,,,False,False,False,False,False,False,True,True,True,True,True,False,True,True,True,,1.0,1.0,0.0,1.0,1.0,
s2_outline_108,3次,株式会社丸杉,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_108.pdf,卸売業・小売業,3.9,12.0,5,4.0,0.8,True,21.9422,562.6205128205128,219.74358974358975,0.4618205128205128,1.5384615384615385,,,,False,True,False,False,False,True,False,True,True,False,True,True,False,True,True,,0.0,1.0,1.0,1.0,,1.0
s2_outline_110,3次,学校法人花沢学園,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_110.pdf,教育・学習支援業,6.8,29.0,5,4.0,0.8,True,10.2692,151.01764705882354,2.058823529411765,0.5907058823529412,5.294117647058823,,,,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,,1.0,1.0,1.0,0.0,1.0,
s2_outline_155,4次,信和化工株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_155.pdf,製造業,4.29,15.1,5,4.0,0.8,True,7.1353100000000005,166.32424242424244,2.1165501165501164,0.29171095571095573,2.097902097902098,,,,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,,1.0,1.0,0.0,1.0,1.0,
s2_outline_164,4次,株式会社東豊精工,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_164.pdf,製造業,5.5,23.31,5,4.0,0.8,True,11.4318,207.8509090909091,3.8909090909090907,0.4440363636363637,5.454545454545454,,,,False,False,False,False,False,False,True,True,True,False,False,True,True,True,True,,1.0,1.0,1.0,1.0,0.0,
s2_outline_178,4次,株式会社メタルテック,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_178.pdf,製造業,5.81,23.69,5,4.0,0.8,True,24.9753,429.8674698795181,2.736660929432014,0.9101290877796901,1.5490533562822721,,,,True,True,False,False,False,True,False,True,True,True,False,False,True,True,True,,1.0,1.0,1.0,0.0,1.0,
