metric,lagging_n,other_n,lagging_median,other_median,lagging_mean,other_mean,standardized_mean_difference,within_round_percentile_difference
補助金額（億円）,125,256,7.5,10.0,11.456800000000001,14.26612890625,-0.25167870081554405,-0.10646843502875625
事業費（億円）,125,256,28.0,36.0,40.483729600000004,51.061344453125,-0.2630175076750194,-0.1069758719431948
付加価値増加額・推計（億円）,122,250,10.4667,18.985749999999996,14.526813524590162,27.657641077039997,-0.5003495515463476,-0.2110752633734881
補助金額に対する付加価値増加額・推計（%）,122,250,139.3608401430031,179.85983952702702,190.28365859814127,241.6202164370877,-0.23798691676680298,-0.11661757450614862
売上高増加額／補助金額（倍）,110,228,5.3064261778040605,7.6165306122448975,12.69440420295134,12.689940712796343,0.000189043382107996,-0.062134441886669
給与総額増加額／補助金額（倍）,122,250,0.2780458978772231,0.29941019736842106,0.39215316338193706,0.4253069616399252,-0.07716877094836937,-0.01966715727283863
雇用増加数／補助金1億円（人）,122,251,1.907017543859649,2.6234567901234565,3.663588720683306,4.1201768213973775,-0.0842056121295436,-0.052806425051814876
投資額／全社売上高（%）,35,143,30.41144901610018,50.0,46.61313631045257,245.90591844497428,-0.14809050265142773,-0.12905786135960218
