round,observed_n,raw_proxy_median,official_accepted_median,round_level_ratio_official_to_raw,training_rounds_n,loro_factor,heldout_predicted_median,heldout_signed_error,heldout_error_pct,fixed_1_1_predicted_median,fixed_1_1_error_pct,interpretation
1次,148,11.65205,14.2,1.2186696761514069,3,1.1525310250830922,13.429349130819444,-0.7706508691805549,-5.42711879704616,12.817255,-9.737640845070427,公募回集計中央値の外部較正確認。企業別精度の検証ではない。
2次,25,16.5409,17.6,1.064029164072088,3,1.207162881171692,19.96756050117284,2.3675605011728393,13.452048302118413,18.19499,3.3806250000000038,公募回集計中央値の外部較正確認。企業別精度の検証ではない。
3次,106,20.9105,24.1,1.1525310250830922,3,1.207162881171692,25.242379426740662,1.1423794267406606,4.740163596434277,23.00155,-4.557883817427388,公募回集計中央値の外部較正確認。企業別精度の検証ではない。
4次,93,17.479,21.1,1.207162881171692,3,1.1525310250830922,20.14508978742737,-0.9549102125726314,-4.525640817879772,19.2269,-8.877251184834122,公募回集計中央値の外部較正確認。企業別精度の検証ではない。
