round,treated_case_id,treated_company,treated_industry,control_case_id,control_company,control_industry,industry_exact_match,shared_scale_variable_n,match_distance,treated_baseline_sales_oku,control_baseline_sales_oku,treated_project_cost_oku,control_project_cost_oku,treated_subsidy_oku,control_subsidy_oku,treated_employees_base,control_employees_base,treated_round_original,treated_application_round,control_round_original,control_application_round,pair_application_round_match,round_audit_action,round_audit_source_treated,round_audit_source_control
4次,s2_outline_171,オギハラ食品株式会社,製造業,s2_outline_127,株式会社キィポーション,製造業,True,4,0.33818544415153573,63.62348178,40.96625177,41.92,37.0,11.71,9.1,58.0,90.0,4次,4次,4次,4次,true,keep_original_pair,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf
4次,s2_outline_192,フクビ岡山株式会社,製造業,s2_outline_134,池田薬品工業株式会社,製造業,True,3,0.6139608877218887,,13.71996321,36.52,30.0,9.0,7.5,40.0,32.0,4次,4次,4次,4次,true,keep_original_pair,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf
4次,s2_outline_194,リバードコーポレーション株式会社,製造業,s2_outline_152,株式会社大熊製作所,製造業,True,3,0.6174718213113501,,27.15196243,59.18,47.75,18.6,15.33,120.0,128.0,4次,4次,4次,4次,true,keep_original_pair,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf
4次,s2_outline_210,南島酒販株式会社,卸売業・小売業,s2_outline_167,株式会社カネヒロ,卸売業・小売業,True,3,0.5884223132146821,,,10.71,12.43,3.57,3.09,114.0,82.0,4次,4次,4次,4次,true,keep_original_pair,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf
4次,s2_outline_116,奥伊吹観光株式会社,生活関連サービス業・娯楽業,s2_outline_131,株式会社中村畜産,卸売業・小売業,False,3,0.7586219002670598,,,20.94,21.38,6.7,7.12,50.0,48.0,4次,4次,4次,4次,true,keep_original_pair,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf
4次,s2_outline_168,明和工業株式会社,製造業,s2_outline_144,株式会社シー・エス・ケイ,製造業,True,4,0.4282656736255427,79.1,91.0,21.95,17.69,7.12,5.9,54.0,123.0,4次,4次,4次,4次,true,keep_original_pair,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf
4次,s2_outline_159,株式会社　ファーストライン,運輸業・郵便業,s2_outline_113,株式会社アダチ,卸売業・小売業,False,3,0.8386808898546173,,,16.24,17.36,3.97,4.09,70.0,55.0,4次,4次,4次,4次,true,keep_original_pair,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf
4次,s2_outline_137,株式会社　博多屋,宿泊業・飲食サービス業,s2_outline_154,アルフレッド株式会社,学術研究・専門・技術サービス業,False,4,0.7565151174202538,9.05,7.0,12.0,16.35,4.0,5.16,57.0,104.0,4次,4次,4次,4次,true,keep_original_pair,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf
4次,s2_outline_218,株式会社エム・ケー・ケー,宿泊業・飲食サービス業,s2_outline_136,木本製菓株式会社,宿泊業・飲食サービス業,True,4,0.8911268600402662,16.61,6.97546012,23.1,49.0,5.63,7.5,20.0,70.0,4次,4次,4次,4次,true,keep_original_pair,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf
4次,s2_outline_115,株式会社コスモス食品,製造業,s2_outline_175,化成工業株式会社,製造業,True,3,0.44325483961839185,,58.6,16.84,17.02,3.92,3.98,159.0,190.0,4次,4次,4次,4次,true,keep_original_pair,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf
4次,s2_outline_149,株式会社サン海苔,製造業,s2_outline_119,株式会社群馬コイケ,製造業,True,3,0.49335006115783364,,22.26,13.88,16.12,4.26,4.03,72.0,67.0,4次,4次,4次,4次,true,keep_original_pair,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf
4次,s2_outline_221,株式会社ニシムタ,卸売業・小売業,s2_outline_219,株式会社ナリコマフード,製造業,False,3,1.0363726802370414,863.3,,134.39,150.78,32.63,37.37,106.0,60.0,4次,4次,4次,4次,true,keep_original_pair,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf
4次,s2_outline_121,株式会社ヤマキ食品,製造業,s2_outline_158,株式会社セントラルフード,製造業,True,3,0.5107433099249992,,,29.94,30.23,7.36,6.25,105.0,123.0,4次,4次,4次,4次,true,keep_original_pair,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf
4次,s2_outline_195,株式会社レクザム,製造業,s2_outline_122,杉プラスチック工業株式会社,製造業,True,3,0.43444141485491783,,,19.0,20.0,4.5,4.9,102.0,106.0,4次,4次,4次,4次,true,keep_original_pair,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf
4次,s2_outline_172,株式会社環境整備産業,サービス業_他に分類されないもの,s2_outline_132,株式会社コハラ,卸売業・小売業,False,3,0.9038125898420464,,,17.77,16.18,5.57,4.88,55.0,74.0,4次,4次,4次,4次,true,keep_original_pair,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf
